"id","name","parent_id","parent_name"
2656,Куканы рыболовные,239,Спортивный товар
2657,Суповарки электрические,1521,Техника для кухни
2658,Пюремейкеры электрические,1521,Техника для кухни
2659,Картофелечистки электрические,1521,Техника для кухни
2660,Центрифуги для салата,1590,Посуда и инвентарь
2661,Машинки для лапши,1590,Посуда и инвентарь
2662,Приборы для разогрева еды,1521,Техника для кухни
2663,Подставки для подогрева,1590,Посуда и инвентарь
2664,Джиг-головки рыболовные,239,Спортивный товар
2665,Таблетки для унитаза,8614,Бытовая химия
2666,Очистители для унитаза,8614,Бытовая химия
2667,Муляжи камер видеонаблюдения,6259,Умный дом и безопасность
2668,Полировальные машины,1162,Строительные инструменты
2669,Ручки коробки передач,760,Автомобильные товары
2670,Лампы переносные автомобильные,760,Автомобильные товары
2671,Насадки на глушитель,760,Автомобильные товары
2672,Дневные ходовые огни,760,Автомобильные товары
2673,Капсулы для стирки,8614,Бытовая химия
2674,Лампы от насекомых,2240,Садовая техника
2675,Виниловые пластинки,195,Дом
2676,Чехлы для фиджет спиннеров,7,Игрушки
2677,Дозаторы косметические,49,Красота
2678,Аэрогрили,1521,Техника для кухни
2679,Ювелирные шнурки,204,Ювелирные украшения
2680,Груши боксерские,239,Спортивный товар
2681,Паштетницы,1590,Посуда и инвентарь
2682,Макивары,239,Спортивный товар
2683,Термокомбинезоны,4,Белье
2684,Термоводолазки,4,Белье
2685,Термолонгсливы,4,Белье
2686,Термоджемперы,4,Белье
2687,Термоноски,4,Белье
2688,Термофутболки,4,Белье
2689,Термободи,4,Белье
2690,Термотрусы,4,Белье
2691,Термомайки,4,Белье
2692,Термошорты,4,Белье
2693,Термоколготки,4,Белье
2694,Компрессионные мешки,1605,Спортивные аксессуары
2695,Крахмал для белья,8614,Бытовая химия
2696,Скребки для стеклокерамики,1077,Хозяйственные товары
2697,Средства от накипи,8614,Бытовая химия
2698,Крючки для ванной,195,Дом
2699,Халаты спортивные,1513,Спортивная одежда
2702,Кейсы для дисков,1598,Хранение вещей
2703,Мебель игровая,7,Игрушки
2704,Ящики для инструментов,1162,Строительные инструменты
2705,Тележки передвижные,1162,Строительные инструменты
2706,Шприцы плунжерные,1162,Строительные инструменты
2707,Мыло хозяйственное,8614,Бытовая химия
2708,Планшеты канцелярские,571,Канцелярские товары
2709,Держатели проводов,6237,Периферия и аксессуары
2710,Камеры для коптеров,479,Электроника
2712,Щетки автомобильные,760,Автомобильные товары
2713,Аксессуары для пазлов,7,Игрушки
2714,Поисковые магниты,239,Спортивный товар
2715,Магниты бытовые,1162,Строительные инструменты
2716,Борцовки,3497,Спортивная обувь
2717,Зажимы для скатерти,195,Дом
2718,Пуско-зарядные устройства,760,Автомобильные товары
2719,Аптечки первой помощи,4268,Здоровье
2720,Щетки кухонные,1077,Хозяйственные товары
2721,Губки для посуды,1077,Хозяйственные товары
2722,Перчатки снарядные,1605,Спортивные аксессуары
2723,Шингарты,1605,Спортивные аксессуары
2724,Этикетки,571,Канцелярские товары
2725,Таблички для ванны и туалета,195,Дом
2726,Очки для водителей,760,Автомобильные товары
2727,Очки для компьютера,3,Аксессуары
2737,Палетки косметические сменные,49,Красота
2738,Веревки бельевые,1077,Хозяйственные товары
2739,Декор для сумок и рюкзаков,3,Аксессуары
2740,Спирографы,7,Игрушки
2741,Экстракты для купания,49,Красота
2742,Губки меламиновые,1077,Хозяйственные товары
2743,Катушки для лент гимнастических,239,Спортивный товар
2744,Панели вызывные для домофона,6259,Умный дом и безопасность
2745,Мониторы видеодомофона,6259,Умный дом и безопасность
2746,Бумага для рукоделия,1284,Рукоделие
2747,Пленка багажная,3,Аксессуары
2748,Мини-пылесосы,657,Бытовая техника
2749,Подставки для чайных пакетиков,1590,Посуда и инвентарь
2750,Подставки для зубочисток,1590,Посуда и инвентарь
2751,Лимонницы,1590,Посуда и инвентарь
2752,Подогреватели дизельного топлива,760,Автомобильные товары
2753,Гироциклы,2207,Электротранспорт
2754,Лампы автомобильные,760,Автомобильные товары
2755,Разветвители прикуривателя,760,Автомобильные товары
2756,Уплотнители автомобильные,760,Автомобильные товары
2757,Мелки для волос,49,Красота
2758,Чехлы для флешек,3,Аксессуары
2759,Стойки для гладильного пресса,1077,Хозяйственные товары
2760,Менструальные чаши,49,Красота
2761,Шнурки для телефонов,3,Аксессуары
2762,Сушилки для одежды электрические,657,Бытовая техника
2763,Сборные модели,7,Игрушки
2764,Накидки на автосидения для животных,760,Автомобильные товары
2766,Весла,239,Спортивный товар
2767,Громкоговорители,479,Электроника
2768,Подкладки для бретелей,4,Белье
2769,Накидки для санок,1605,Спортивные аксессуары
2770,Пылесосы маникюрные,657,Бытовая техника
2771,Сноубутсы,2,Обувь
2772,Луноходы,2,Обувь
2773,Шарфы-пледы,3,Аксессуары
2774,Полотенца-пончо,195,Дом
2775,Таблички детские,883,Товары для малышей
2776,Фиксаторы для одеяла,195,Дом
2778,Колтунорезки,723,Товары для животных
2780,Краски для ткани,8614,Бытовая химия
2781,Колпачки для шин,760,Автомобильные товары
2782,Накидки для кормления грудью,883,Товары для малышей
2783,Укрывной материал для растений,6943,Все для садоводства
2785,Кремы восстановители,195,Дом
2786,Зубные порошки,49,Красота
2787,Футляры для зубных щеток,49,Красота
2789,Ветчинницы,1590,Посуда и инвентарь
2790,Загустители для волос,49,Красота
2791,Роботы-пылесосы,657,Бытовая техника
2792,Снежколепы,7,Игрушки
2794,Колпачки для ногтей,49,Красота
